qid, Len, Den, P31, P2561, P8260, P1071, P729
,"ABERDOUR","Steamer, Cargo built in Aberdeen in 1883",Q11446,"ABERDOUR",100904,Q36405,1883
,"ABERGELDIE","Ship built in Aberdeen in 1851",Q11446,"ABERGELDIE",99367,Q36405,1851
,"ABERGELDIE","Ship built in Aberdeen in 1869",Q11446,"ABERGELDIE",99595,Q36405,1869
,"ABERGELDIE","Steam Trawler built in Aberdeen in 1915",Q11446,"ABERGELDIE",101296,Q36405,1915
,"ABERLOUR","Steamer, Cargo built in Aberdeen in 1902",Q11446,"ABERLOUR",101064,Q36405,1902
,"ABOYNE","Schooner built in Aberdeen in 1875",Q11446,"ABOYNE",99604,Q36405,1875
,"ABOYNE","Screw Steamer built in Aberdeen in 1901",Q11446,"ABOYNE",99683,Q36405,1901
,"ABOYNE","Ship built in Aberdeen in 1908",Q11446,"ABOYNE",99779,Q36405,1908
,"ABOYNE OF ABERDEEN","Brig built in Aberdeen in 1814",Q11446,"ABOYNE OF ABERDEEN",113488,Q36405,1814
,"ABUNDANCE","Brigantine built in Aberdeen in 1816",Q11446,"ABUNDANCE",99938,Q36405,1816
,"ACACIA WOOD","Trawler built in Aberdeen in 1976",Q11446,"ACACIA WOOD",101768,Q36405,1976
,"ACADIA SNOWBIRD","Trawler built in Aberdeen in 1956",Q11446,"ACADIA SNOWBIRD",99235,Q36405,1956
,"ACASTA","Barque built in Aberdeen in 1845",Q11446,"ACASTA",100068,Q36405,1845
,"ACKLAM CROSS","Diesel Electric Tug built in Aberdeen in 1933",Q11446,"ACKLAM CROSS",101462,Q36405,1933
,"ACORN","Brig built in Aberdeen in 1819",Q11446,"ACORN",122869,Q36405,1819
,"ACTIF","Screw Steamer built in Aberdeen in 1883",Q11446,"ACTIF",100234,Q36405,1883
,"ACTIVE","Sloop built in Aberdeen in 1801",Q11446,"ACTIVE",108152,Q36405,1801
,"ACTIVE","Brig built in Aberdeen in 1784",Q11446,"ACTIVE",182654,Q36405,1784
,"ACTIVE","Sloop built in Aberdeen in 1803",Q11446,"ACTIVE",182655,Q36405,1803
,"ADA","Ship built in Aberdeen in 1865",Q11446,"ADA",100166,Q36405,1865
,"ADAM SEDGWICK","Ship built in Aberdeen in 1861",Q11446,"ADAM SEDGWICK",100144,Q36405,1861
,"ADAMANT","Brig built in Aberdeen in 1808",Q11446,"ADAMANT",135655,Q36405,1808
,"ADELAIDE","Paddle Tug built in Aberdeen in 1877",Q11446,"ADELAIDE",100880,Q36405,1877
,"ADELAIDE","Schooner (Later Hermaphrodite) built in Aberdeen in 1830",Q11446,"ADELAIDE",101799,Q36405,1830
,"ADELPHI","Brigantine built in Aberdeen in 1814",Q11446,"ADELPHI",100778,Q36405,1814
,"ADHUERA","Ship built in Aberdeen in 1826",Q11446,"ADHUERA",152163,Q36405,1826
,"ADMIRAL","Clipper built in Aberdeen in 1846",Q11446,"ADMIRAL",99350,Q36405,1846
,"ADMIRAL","Steamer built in Aberdeen in 1865",Q11446,"ADMIRAL",100163,Q36405,1865
,"ADMIRAL BURNETT","Trawler built in Aberdeen in 1961",Q11446,"ADMIRAL BURNETT",101612,Q36405,1961
,"ADMIRAL COLLINGWOOD","Barque built in Aberdeen in 1855",Q11446,"ADMIRAL COLLINGWOOD",152951,Q36405,1855
,"ADMIRAL DRAKE","Motor Fishing Trawler built in Aberdeen in 1960",Q11446,"ADMIRAL DRAKE",101607,Q36405,1960
,"ADMIRAL HAWKE","Trawler built in Aberdeen in 1961",Q11446,"ADMIRAL HAWKE",101609,Q36405,1961
,"ADMIRAL JELLICOE","Trawler built in Aberdeen in 1961",Q11446,"ADMIRAL JELLICOE",101608,Q36405,1961
,"ADOLPH DEPPE","Cargo built in Aberdeen in 1888",Q11446,"ADOLPH DEPPE",99617,Q36405,1888
,"ADORATION","Steam Herring Drifter built in Aberdeen in 1912",Q11446,"ADORATION",99833,Q36405,1912
,"ADRIATIC COAST","Coaster built in Aberdeen in 1949",Q11446,"ADRIATIC COAST",101535,Q36405,1949
,"ADVENTURE","Brigantine built in Aberdeen in 1833",Q11446,"ADVENTURE",99980,Q36405,1833
,"ADVENTURE","Steam Trawler built in Aberdeen in 1906",Q11446,"ADVENTURE",101109,Q36405,1906
,"ADVENTURE","Sloop built in Aberdeen in 1772",Q11446,"ADVENTURE",110966,Q36405,1772
,"ADVENTURE","Sloop built in Aberdeen in 1828",Q11446,"ADVENTURE",136440,Q36405,1828
,"AFRICANA","Steamer, Fishery Research built in Aberdeen in 1930",Q11446,"AFRICANA",101453,Q36405,1930
,"AGAMA","Screw Tug built in Aberdeen in 1937",Q11446,"AGAMA",100577,Q36405,1937
,"AGENORIA","Brigantine built in Aberdeen in 1830",Q11446,"AGENORIA",100757,Q36405,1830
,"AGNES","Brig built in Aberdeen in 1839",Q11446,"AGNES",99502,Q36405,1839
,"AGNES","Brig built in Aberdeen in 1856",Q11446,"AGNES",99557,Q36405,1856
,"AGNES","Brigantine built in Aberdeen in 1818",Q11446,"AGNES",99944,Q36405,1818
,"AGNES","Trawler built in Aberdeen in 1896",Q11446,"AGNES",100279,Q36405,1896
,"AGNES H WETHERLY","Steam Trawler built in Aberdeen in 1917",Q11446,"AGNES H WETHERLY",99881,Q36405,1917
,"AGNES NUTTEN","Steam Trawler built in Aberdeen in 1915",Q11446,"AGNES NUTTEN",101290,Q36405,1915
,"AGNES ROSE","Ship built in Aberdeen in 1867",Q11446,"AGNES ROSE",99590,Q36405,1867
,"AGRICOLA","Brig built in Aberdeen in 1857",Q11446,"AGRICOLA",100133,Q36405,1857
,"AID","Schooner built in Aberdeen in 1826",Q11446,"AID",100771,Q36405,1826
,"AID","Ship built in Aberdeen in 1798",Q11446,"AID",152158,Q36405,1798
,"AID","Ship built in Aberdeen in 1810",Q11446,"AID",152177,Q36405,1810
,"AID","Sloop built in Aberdeen in 1803",Q11446,"AID",152197,Q36405,1803
,"AIGLON","Ship built in Aberdeen in 1907",Q11446,"AIGLON",99762,Q36405,1907
,"AIMWELL","Lugger built in Aberdeen in 1830",Q11446,"AIMWELL",100835,Q36405,1830
,"AIMWELL","Snow built in Aberdeen in 1816",Q11446,"AIMWELL",112102,Q36405,1816
,"AJASA","Collier built in Aberdeen in 1953",Q11446,"AJASA",101552,Q36405,1953
,"ALA-BIAR","Motor Fishing Vessel built in Aberdeen in 1936",Q11446,"ALA-BIAR",101469,Q36405,1936
,"ALA-IZAN","Motor Fishing Vessel built in Aberdeen in 1936",Q11446,"ALA-IZAN",101470,Q36405,1936
,"ALASTAIR","Screw Steamer built in Aberdeen in 1902",Q11446,"ALASTAIR",99692,Q36405,1902
,"ALBATROSS","Cargo built in Aberdeen in 1965",Q11446,"ALBATROSS",99315,Q36405,1965
,"ALBATROSS","Trawler built in Aberdeen in 1906",Q11446,"ALBATROSS",100338,Q36405,1906
,"ALBION","Brigantine built in Aberdeen in 1826",Q11446,"ALBION",99965,Q36405,1826
,"ALBION","Brigantine built in Aberdeen in 1805",Q11446,"ALBION",116048,Q36405,1805
,"ALBION","Ship built in Aberdeen in 1794",Q11446,"ALBION",152154,Q36405,1794
,"ALBION","Brigantine built in Aberdeen in 1792",Q11446,"ALBION",160219,Q36405,1792
,"ALCATRAZ","Steam Trawler built in Aberdeen in 1910",Q11446,"ALCATRAZ",99801,Q36405,1910
,"ALDERNEY","Vessel, Offshore Patrol built in Aberdeen in 1979",Q11446,"ALDERNEY",101695,Q36405,1979
,"ALERT","Brigantine built in Aberdeen in 1837",Q11446,"ALERT",99999,Q36405,1837
,"ALERT","Steam Herring Drifter built in Aberdeen in 1907",Q11446,"ALERT",100353,Q36405,1907
,"ALERT","Screw Steamer built in Aberdeen in 1872",Q11446,"ALERT",100735,Q36405,1872
,"ALERT","Brig built in Aberdeen in 1792",Q11446,"ALERT",152195,Q36405,1792
,"ALERT","Brig built in Aberdeen in 1806",Q11446,"ALERT",182656,Q36405,1806
,"ALEXANDER","Brigantine built in Aberdeen in 1818",Q11446,"ALEXANDER",99430,Q36405,1818
,"ALEXANDER","Brigantine built in Aberdeen in 1837",Q11446,"ALEXANDER",99492,Q36405,1837
,"ALEXANDER","Brigantine built in Aberdeen in 1813",Q11446,"ALEXANDER",113006,Q36405,1813
,"ALEXANDER","Ship built in Aberdeen in 1815",Q11446,"ALEXANDER",113007,Q36405,1815
,"ALEXANDER","Ship built in Aberdeen in 1810",Q11446,"ALEXANDER",130502,Q36405,1810
,"ALEXANDER","Brig built in Aberdeen in 1840",Q11446,"ALEXANDER",152938,Q36405,1840
,"ALEXANDER BRUCE","Trawler built in Aberdeen in 1957",Q11446,"ALEXANDER BRUCE",99240,Q36405,1957
,"ALEXANDER DUTHIE","Ship built in Aberdeen in 1867",Q11446,"ALEXANDER DUTHIE",99578,Q36405,1867
,"ALEXANDER HALL","Barque built in Aberdeen in 1845",Q11446,"ALEXANDER HALL",100072,Q36405,1845
,"ALEXANDER HARVEY","Barque built in Aberdeen in 1840",Q11446,"ALEXANDER HARVEY",99325,Q36405,1840
,"ALEXANDER NICOL","Schooner built in Aberdeen in 1876",Q11446,"ALEXANDER NICOL",99605,Q36405,1876
,"ALEXANDER PIRIE","Steam Schooner built in Aberdeen in 1873",Q11446,"ALEXANDER PIRIE",100203,Q36405,1873
,"ALEXANDRA","Steam Trawler built in Aberdeen in 1905",Q11446,"ALEXANDRA",99742,Q36405,1905
,"ALEXANDRA","Ship built in Aberdeen in 1941",Q11446,"ALEXANDRA",152975,Q36405,1941
,"ALEXANDRINA","Barque built in Aberdeen in 1848",Q11446,"ALEXANDRINA",99541,Q36405,1848
,"ALEXANDRINA","Ship (Barque 1878) built in Aberdeen in 1864",Q11446,"ALEXANDRINA",112849,Q36405,1864
,"ALFORD","Steamer built in Aberdeen in 1889",Q11446,"ALFORD",100925,Q36405,1889
,"ALFRED","Snow Brig built in Aberdeen in 1804",Q11446,"ALFRED",108151,Q36405,1804
,"ALFRED","Brig built in Aberdeen in 1827",Q11446,"ALFRED",136245,Q36405,1827
,"ALICE BROWN","Brig built in Aberdeen in 1839",Q11446,"ALICE BROWN",99508,Q36405,1839
,"ALICE DODDS","Trawler built in Aberdeen in 1910",Q11446,"ALICE DODDS",100379,Q36405,1910
,"ALIVE","Barque built in Aberdeen in 1875",Q11446,"ALIVE",100205,Q36405,1875
,"ALLAN RAMSEY","Trawler built in Aberdeen in 1911",Q11446,"ALLAN RAMSEY",99813,Q36405,1911
,"ALLISON","Ship built in Aberdeen in 1790",Q11446,"ALLISON",152183,Q36405,1790
,"ALMA","Ship built in Aberdeen in 1855",Q11446,"ALMA",99565,Q36405,1855
,"ALMIRANTE BLANCO","Trawler built in Aberdeen in 1912",Q11446,"ALMIRANTE BLANCO",100394,Q36405,1912
,"ALNWICK CASTLE","Schooner built in Aberdeen in 1842",Q11446,"ALNWICK CASTLE",100054,Q36405,1842
,"ALPHA","Trawler built in Aberdeen in 1905",Q11446,"ALPHA",99743,Q36405,1905
,"ALPHA","Sloop built in Aberdeen in 1816",Q11446,"ALPHA",152225,Q36405,1816
,"ALTNASKIACK","Smack built in Aberdeen in 1826",Q11446,"ALTNASKIACK",136268,Q36405,1826
,"AMBASSADOR","Trawler built in Aberdeen in 1899",Q11446,"AMBASSADOR",100297,Q36405,1899
,"AMELIA","Schooner built in Aberdeen in 1847",Q11446,"AMELIA",100081,Q36405,1847
,"AMELIA","Ship built in Aberdeen in 1766",Q11446,"AMELIA",152184,Q36405,1766
,"AMETHYST","Snow built in Aberdeen in 1812",Q11446,"AMETHYST",134243,Q36405,1812
,"ANDRE PIERRE","Trawler built in Aberdeen in 1920",Q11446,"ANDRE PIERRE",100499,Q36405,1920
,"ANDREW FORBES","Smack built in Aberdeen in 1823",Q11446,"ANDREW FORBES",99958,Q36405,1823
,"ANDRINA","Steam Herring Drifter built in Aberdeen in 1911",Q11446,"ANDRINA",99823,Q36405,1911
,"ANEMONE","Brig built in Aberdeen in 1840",Q11446,"ANEMONE",99327,Q36405,1840
,"ANEMONE","Steam Trawler built in Aberdeen in 1936",Q11446,"ANEMONE",101471,Q36405,1936
,"ANEMONE","Freezer Stern Trawler built in Aberdeen in 1971",Q11446,"ANEMONE",101664,Q36405,1971
,"ANGLER","Schooner built in Aberdeen in 1839",Q11446,"ANGLER",100016,Q36405,1839
,"ANGLESEY","Vessel, Offshore Patrol built in Aberdeen in 1979",Q11446,"ANGLESEY",101694,Q36405,1979
,"ANN","Hermaphrodite built in Aberdeen in 1835",Q11446,"ANN",99487,Q36405,1835
,"ANN","Brigantine built in Aberdeen in 1827",Q11446,"ANN",100750,Q36405,1827
,"ANN","Brigantine built in Aberdeen in 1818",Q11446,"ANN",100782,Q36405,1818
,"ANN","Brig built in Aberdeen in 1761",Q11446,"ANN",136737,Q36405,1761
,"ANN","Snow built in Aberdeen in 1800",Q11446,"ANN",152957,Q36405,1800
,"ANN","Sloop built in Aberdeen in 1746",Q11446,"ANN",182658,Q36405,1746
,"ANN DUTHIE","Ship built in Aberdeen in 1868",Q11446,"ANN DUTHIE",99593,Q36405,1868
,"ANN FORD MELVILLE","Steam Trawler built in Aberdeen in 1911",Q11446,"ANN FORD MELVILLE",100384,Q36405,1911
,"ANN LAW","Brig built in Aberdeen in 1858",Q11446,"ANN LAW",119611,Q36405,1858
,"ANN LITTLEJOHN","Smack built in Aberdeen in 1830",Q11446,"ANN LITTLEJOHN",100758,Q36405,1830
,"ANN MCKENZIE","Sloop built in Aberdeen in 1821",Q11446,"ANN MCKENZIE",137028,Q36405,1821
,"ANN MELVILLE","Steam Trawler built in Aberdeen in 1909",Q11446,"ANN MELVILLE",100367,Q36405,1909
,"ANN MITCHELL","Brig built in Aberdeen in 1862",Q11446,"ANN MITCHELL",118687,Q36405,1862
,"ANN SMITH","Barque built in Aberdeen in 1839",Q11446,"ANN SMITH",100022,Q36405,1839
,"ANNAGHER","Coaster built in Aberdeen in 1923",Q11446,"ANNAGHER",99055,Q36405,1923
,"ANNAGHMORE","Coaster built in Aberdeen in 1924",Q11446,"ANNAGHMORE",99057,Q36405,1924
,"ANNAN","Frigate built in Aberdeen in 1944",Q11446,"ANNAN",101504,Q36405,1944
,"ANNIE WALKER","Steam Trawler built in Aberdeen in 1890",Q11446,"ANNIE WALKER",100260,Q36405,1890
,"ANNO","Motor Coaster built in Aberdeen in 1952",Q11446,"ANNO",101550,Q36405,1952
,"ANNWOOD","Trawler built in Aberdeen in 1974",Q11446,"ANNWOOD",101758,Q36405,1974
,"APPLEGARTH","Tug built in Aberdeen in 1951",Q11446,"APPLEGARTH",100657,Q36405,1951
,"ARAB","Brig built in Aberdeen in 1839",Q11446,"ARAB",119320,Q36405,1839
,"ARABELLA","Schooner built in Aberdeen in 1842",Q11446,"ARABELLA",100052,Q36405,1842
,"ARABIAN","Screw Steamer built in Aberdeen in 1899",Q11446,"ARABIAN",99658,Q36405,1899
,"ARCHIMEDES","Screw Steamer, Cargo built in Aberdeen in 1874",Q11446,"ARCHIMEDES",100867,Q36405,1874
,"ARDENT","Ship built in Aberdeen in 1826",Q11446,"ARDENT",121857,Q36405,1826
,"ARDGOWAN","Ship built in Aberdeen in 1900",Q11446,"ARDGOWAN",99680,Q36405,1900
,"ARDLAW","Steam Herring Drifter built in Aberdeen in 1909",Q11446,"ARDLAW",99798,Q36405,1909
,"ARDMELLIE","Steamer built in Aberdeen in 1884",Q11446,"ARDMELLIE",100909,Q36405,1884
,"ARDOE","Steamer, Cargo built in Aberdeen in 1880",Q11446,"ARDOE",100893,Q36405,1880
,"ARDROSSAN","Coastal Tanker built in Aberdeen in 1968",Q11446,"ARDROSSAN",101651,Q36405,1968
,"ARDSHEEAN","Trawler built in Aberdeen in 1962",Q11446,"ARDSHEEAN",99299,Q36405,1962
,"ARETHUSA","Brigantine built in Aberdeen in 1820",Q11446,"ARETHUSA",100784,Q36405,1820
,"ARETHUSA","Brig built in Aberdeen in 1839",Q11446,"ARETHUSA",144683,Q36405,1839
,"ARETHUSA","Brig built in Aberdeen in 1839",Q11446,"ARETHUSA",152939,Q36405,1839
,"ARIEL","Schooner built in Aberdeen in 1820",Q11446,"ARIEL",99443,Q36405,1820
,"ARIEL","Barque built in Aberdeen in 1848",Q11446,"ARIEL",99540,Q36405,1848
,"ARIEL","Brigantine built in Aberdeen in 1837",Q11446,"ARIEL",100706,Q36405,1837
,"ARISTEA","Steam Trawler built in Aberdeen in 1935",Q11446,"ARISTEA",101467,Q36405,1935
,"ARISTIDES","Ship built in Aberdeen in 1876",Q11446,"ARISTIDES",99416,Q36405,1876
,"ARK","Brig built in Aberdeen in 1794",Q11446,"ARK",136738,Q36405,1794
,"ARKWRIGHT","Ship built in Aberdeen in 1830",Q11446,"ARKWRIGHT",100796,Q36405,1830
,"AR-MEN","Steam Trawler built in Aberdeen in 1907",Q11446,"AR-MEN",101153,Q36405,1907
,"ARTHUR GODFREY","Trawler built in Aberdeen in 1927",Q11446,"ARTHUR GODFREY",99083,Q36405,1927
,"ARTHUR GOULDBY","Trawler built in Aberdeen in 1921",Q11446,"ARTHUR GOULDBY",99911,Q36405,1921
,"ARTISAN","Brig built in Aberdeen in 1857",Q11446,"ARTISAN",100132,Q36405,1857
,"ARUM","Steam Trawler built in Aberdeen in 1926",Q11446,"ARUM",101426,Q36405,1926
,"ASCALON","Barque built in Aberdeen in 1868",Q11446,"ASCALON",99402,Q36405,1868
,"ASHLYN","Screw Steam Trawler built in Aberdeen in 1914",Q11446,"ASHLYN",99861,Q36405,1914
,"ASIA","Ship built in Aberdeen in 1818",Q11446,"ASIA",99945,Q36405,1818
,"ASKUR","Steam Trawler built in Aberdeen in 1947",Q11446,"ASKUR",100636,Q36405,1947
,"ASSHUR","Barque built in Aberdeen in 1863",Q11446,"ASSHUR",99582,Q36405,1863
,"ASSYRIAN","Ship built in Aberdeen in 1854",Q11446,"ASSYRIAN",99374,Q36405,1854
,"ASTEROPE","Ship (Barque 1878) built in Aberdeen in 1859",Q11446,"ASTEROPE",100137,Q36405,1859
,"ATHOL","Sloop built in Aberdeen in 1771",Q11446,"ATHOL",110888,Q36405,1771
,"ATLANTIC","Brig built in Aberdeen in 1824",Q11446,"ATLANTIC",100765,Q36405,1824
,"ATLANTIC COCK","Tug built in Aberdeen in 1932",Q11446,"ATLANTIC COCK",100557,Q36405,1932
,"ATLAS","Ship built in Aberdeen in 1817",Q11446,"ATLAS",132014,Q36405,1817
,"ATLAS","Brig built in Aberdeen in 1807",Q11446,"ATLAS",136739,Q36405,1807
,"ATLAS","Brig built in Aberdeen in 1800",Q11446,"ATLAS",152940,Q36405,1800
,"AUCHINTOUL","Steamer, Cargo built in Aberdeen in 1880",Q11446,"AUCHINTOUL",100891,Q36405,1880
,"AUCHMACOY","Coaster built in Aberdeen in 1939",Q11446,"AUCHMACOY",101482,Q36405,1939
,"AUDACIOUS","Tug built in Aberdeen in 1923",Q11446,"AUDACIOUS",100505,Q36405,1923
,"AUGUSTA","Steam Screw Trawler built in Aberdeen in 1898",Q11446,"AUGUSTA",99642,Q36405,1898
,"AUK","Trawler built in Aberdeen in 1901",Q11446,"AUK",100311,Q36405,1901
,"AURORA","Ship built in Aberdeen in 1816",Q11446,"AURORA",124214,Q36405,1816
,"AUSTERLITZ","Screw Steamer built in Aberdeen in 1881",Q11446,"AUSTERLITZ",100897,Q36405,1881
,"AUSTFIRDINGUR","Trawler built in Aberdeen in 1951",Q11446,"AUSTFIRDINGUR",99206,Q36405,1951
,"AUSTRAL","Ship built in Aberdeen in 1856",Q11446,"AUSTRAL",99556,Q36405,1856
,"AUSTRALIAN","Ship built in Aberdeen in 1866",Q11446,"AUSTRALIAN",99589,Q36405,1866
,"AVALANCHE","Ship built in Aberdeen in 1874",Q11446,"AVALANCHE",100206,Q36405,1874
,"AVEN","Brig built in Aberdeen in 1867",Q11446,"AVEN",100725,Q36405,1867
,"AVIEMORE","Ship built in Aberdeen in 1870",Q11446,"AVIEMORE",99408,Q36405,1870
,"AVOCET","Cargo built in Aberdeen in 1965",Q11446,"AVOCET",99314,Q36405,1965
,"AVON WATER","Steam Trawler built in Aberdeen in 1930",Q11446,"AVON WATER",112592,Q36405,1930
,"AVONDOW","Trawler built in Aberdeen in 1946",Q11446,"AVONDOW",99170,Q36405,1946
,"AVONRIVER","Steam Trawler built in Aberdeen in 1950",Q11446,"AVONRIVER",99202,Q36405,1950
,"AVONWATER","Trawler built in Aberdeen in 1930",Q11446,"AVONWATER",99105,Q36405,1930
,"AVONWOOD","Motor Cargo Vessel built in Aberdeen in 1944",Q11446,"AVONWOOD",101506,Q36405,1944
,"AYSGARTH","Tug built in Aberdeen in 1951",Q11446,"AYSGARTH",100656,Q36405,1951
,"AZALEA","Freezer Stern Trawler built in Aberdeen in 1971",Q11446,"AZALEA",101665,Q36405,1971
,"BABBY","Sloop built in Aberdeen in 1785",Q11446,"BABBY",182659,Q36405,1785
,"BABIANA","Steam Trawler built in Aberdeen in 1934",Q11446,"BABIANA",101465,Q36405,1934
,"BALCOMBE","Coaster built in Aberdeen in 1925",Q11446,"BALCOMBE",99062,Q36405,1925
,"BALGAIRN","Steamer, Cargo built in Aberdeen in 1882",Q11446,"BALGAIRN",100901,Q36405,1882
,"BALGOWNIE","Clipper built in Aberdeen in 1848",Q11446,"BALGOWNIE",99358,Q36405,1848
,"BALGOWNIE","Steamer built in Aberdeen in 1880",Q11446,"BALGOWNIE",100219,Q36405,1880
,"BALGOWNIE","Trawler built in Aberdeen in 1902",Q11446,"BALGOWNIE",100319,Q36405,1902
,"BALLANTINE","Offshore Supply built in Aberdeen in 1986",Q11446,"BALLANTINE",101713,Q36405,1986
,"BALLARAT","Ship built in Aberdeen in 1852",Q11446,"BALLARAT",99548,Q36405,1852
,"BALLATER","Steamer, Cargo built in Aberdeen in 1876",Q11446,"BALLATER",100874,Q36405,1876
,"BALLOCHBUIE","Coaster built in Aberdeen in 1905",Q11446,"BALLOCHBUIE",99741,Q36405,1905
,"BALLOCHBUIE","Screw Cargo Steamer built in Aberdeen in 1880",Q11446,"BALLOCHBUIE",100895,Q36405,1880
,"BALLOGIE","Steamer, Cargo built in Aberdeen in 1879",Q11446,"BALLOGIE",100889,Q36405,1879
,"BALLYLESSON","Vessel, Cargo built in Aberdeen in 1958",Q11446,"BALLYLESSON",101591,Q36405,1958
,"BALLYLORAN","Vessel, Cargo built in Aberdeen in 1958",Q11446,"BALLYLORAN",101590,Q36405,1958
,"BALLYRORY","Collier built in Aberdeen in 1962",Q11446,"BALLYRORY",101618,Q36405,1962
,"BALLYRUSH","Collier built in Aberdeen in 1962",Q11446,"BALLYRUSH",101617,Q36405,1962
,"BALMEDIE","Steam Trawler built in Aberdeen in 1906",Q11446,"BALMEDIE",101126,Q36405,1906
,"BALMORAL","Steamer, Cargo built in Aberdeen in 1878",Q11446,"BALMORAL",100884,Q36405,1878
,"BALNACRAIG","Steamer, Cargo built in Aberdeen in 1883",Q11446,"BALNACRAIG",100903,Q36405,1883
,"BALNAGASK","Steam Trawler built in Aberdeen in 1903",Q11446,"BALNAGASK",101071,Q36405,1903
,"BAMBOROUGH CASTLE","Corvette built in Aberdeen in 1944",Q11446,"BAMBOROUGH CASTLE",99157,Q36405,1944
,"BANCHORY","Brigantine built in Aberdeen in 1825",Q11446,"BANCHORY",99963,Q36405,1825
,"BANCHORY","Steamer, Cargo built in Aberdeen in 1877",Q11446,"BANCHORY",100879,Q36405,1877
,"BANGARTH","Tug built in Aberdeen in 1951",Q11446,"BANGARTH",100658,Q36405,1951
,"BANNERDALE","Ship built in Aberdeen in 1907",Q11446,"BANNERDALE",99761,Q36405,1907
,"BARBARA","Brigantine built in Aberdeen in 1817",Q11446,"BARBARA",99939,Q36405,1817
,"BARBARA","Hermaphrodite built in Aberdeen in 1829",Q11446,"BARBARA",100752,Q36405,1829
,"BARBARA  ALLAN","Brig built in Aberdeen in 1836",Q11446,"BARBARA  ALLAN",99996,Q36405,1836
,"BARBARA PATON","Trawler built in Aberdeen in 1957",Q11446,"BARBARA PATON",99247,Q36405,1957
,"BARFAIR","Boom Defence Vessel built in Aberdeen in 1938",Q11446,"BARFAIR",99126,Q36405,1938
,"BARFIELD","Boom Defence Vessel built in Aberdeen in 1938",Q11446,"BARFIELD",99127,Q36405,1938
,"BARFOOT","Boom Defence Vessel built in Aberdeen in 1943",Q11446,"BARFOOT",99145,Q36405,1943
,"BARGE","Barge built in Aberdeen in 1841",Q11446,"BARGE",100042,Q36405,1841
,"BARGLOW","Boom Defence Vessel built in Aberdeen in 1943",Q11446,"BARGLOW",99146,Q36405,1943
,"BARILLA","Boom Defence Vessel built in Aberdeen in 1943",Q11446,"BARILLA",99147,Q36405,1943
,"BARLEYCORN","Boom Defence Vessel built in Aberdeen in 1943",Q11446,"BARLEYCORN",99148,Q36405,1943
,"BARNARD","Boom Defence Vessel built in Aberdeen in 1943",Q11446,"BARNARD",99143,Q36405,1943
,"BARNARD BOYLE","Steam Trawler built in Aberdeen in 1918",Q11446,"BARNARD BOYLE",152941,Q36405,1918
,"BARNEATH","Boom Defence Vessel built in Aberdeen in 1943",Q11446,"BARNEATH",99144,Q36405,1943
,"BAROK","Motor Cargo Ship built in Aberdeen in 1950",Q11446,"BAROK",101706,Q36405,1950
,"BARONSCOURT","Cargo built in Aberdeen in 1935",Q11446,"BARONSCOURT",99116,Q36405,1935
,"BARRAGE","Boom Defence Vessel built in Aberdeen in 1938",Q11446,"BARRAGE",101475,Q36405,1938
