Name,Date,Type,Shipbuilder,Builder,Official Number,Construction,id,Dimensions,Owner,Shipowner,Associated,Description
ABERDEEN,1871,STEAMER,"Hall, Russell & Company, Limited",,65076,IRON,100851,"length 230 7/12' x breadth 30 1/12' x depth 17 1/12'
gross tonnage 1077 ton","Adam & Company, Aberdeen",,,"Yard Number: 175

Launched March 1871
Registered at Aberdeen 9 May 1871

1 deck, 2 masts, schooner rigged, round stern, clench built no gallery, no figurehead, iron framework.
2 engines, compound surface condensing, inverted cylinders, direct acting.  Estimated horse power 110.  
Crew space; topgallant forecastle space for 1st mate, 2nd mate, carpenter, cook & steward, 1st engineer. 

Initial joint owners; Thomas Adam, John Birnie Adam, Thomas Adam Jnr., Alexander Chivas Adam.  By February 1873 the Adams owned 48/64 shares with the largest minority shareholder being James William Barclay with 6 shares.

Owners on 14/6/1887:
John Birnie Adam, Thomas Adam Jnr., Alexander Chivas Adam (joint owners of 24 shares), George Hepburn, engineer, Liverpool (2 shares), Alexander Hector Taylor, shipmaster, Aberdeen (2 shares), Charles Cook, innkeeper, Ballater (2 shares), Alexander Davidson, advocate, Desswood (4 shares), Mary Greig or Smith, widow, Aberdeen (2 shares), George Fyfe, merchant, Aberdeen (2 shares), Andrew Baxter Buyers, marine engineer, Aberdeen (1 share), Jane Baxter or Buyers, widow, Aberdeen (1 share), John Cardno Couper, landed proprietor, Craigiebuckler (4 shares), Thomas Adam, banker, Aberdeen (4 shares), John Crombie, manufacturer, Granholm (2 shares), John Birnie Adam, shipowner, Aberdeen (2 shares), Jane Milne or Fyfe, widow, Aberdeen (1 shares), Elsie Douglas Milne, spinster, Aberdeen (1 share), David Littlejohn, advocate, Aberdeen (2 shares), David McHardy, ironmonger, Aberdeen (1 share), Mary McHardy, spinster, Aberdeen (1 share), Alexander Burness McHardy, HM Corps of Royal Engineers, London (2 shares), George Collie, advocate, Aberdeen (2 shares), James Pitkethly, Glasgow, Rev. James Robertson, Edinburgh, John Baird Smith, Glasgow & Michael Johnston, Glasgow - joint owners of 2 shares.
 
Engine Details:
Steam by screw, two, compound, surface condensing, 28 and half inches by 51 inches, with 33 inch stroke. Tripled by HR in 1887 by addition of 17"" h.p. cylinder. H.P. and L.P. cylinders in tandem.
Compound Iron boiler - 11' diameter, 6x10"" furnaces, 1444ft squared heating area, length 12' 5 and a half "".
Triple steel boiler: 14' diameter, length 10' 4"", 163ps.i. 3x6 and one quarter inch corrugated furnaces.
Propeller: diameter 14'7"", cast iron, 4 bladed.

Master A H Taylor, port of survey Aberdeen, destined voyage Baltic.

1872-73: Surveyed Newcastle; Baltic route.
1873-74: Masters A H Taylor & R. Baxter; Surveyed Newcastle & Aberdeen; Routes Baltic & Spain.
1884-85: 2 cylinders.
1885-86: Master D. Profit.
1890-91: Master A. Mowat.
1894-95: Master J. Strachan.
1895-96: Master M. P. Cormack; New owner N. K. Streyberg (Danish); Port of Registry Aalborg.  Renamed KNUD 1896.
1898-99: 3 cylinders.

As KNUD lost at mouth of Tyne by collision 20 November 1902 on voyage Tyne-Valencia with coal and coke, after colliding with the S.S. SWALEDALE

Aberdeen Journal, 20/09/1871:
Screw steamer ABERDEEN has been unusually quick in the round from Shields to Cronstadt and from Constadt to London, the whole time over the voyage being only 25 days, the run out with 1350 tins coal being done in 5 days, 21 hours, giving average speed 9 knots. The run back (including detention of 7 hrs) was done in 6 days 1 hr. i.e. 9.5 knots and on consumption of 11½ tons coal per day.

Aberdeen Journal, 10/11/1875:
Steamer ABERDEEN, belonging to Adam & Co., arrived in Aberdeen Bay from Carthagena with cargo of esparto grass and lead, for Aberdeen and latter for Newcastle. Passage 9 days, nearly 3 less than usual for voyage.

Northern Echo, 17/04/1876:
Screw steamer ABERDEEN, of Aberdeen, Capt. Baxter, has arrived Shields from Carthagena. Captain reports that off Lisbon, about 5a.m., 7 April, weather foggy and going dead slow, he heard a fog horn on port bow and almost immediately cries for assistance.  Steamer was at once stopped, when it was found ABERDEEN had struck a fishing boat and cut her down to water's edge.  Measures were at once taken to save the crew, one man got hold of a rope that was thrown and got aboard the steamer. Rest of crew managed to get their own boat out before fishing boat sank. They were taken aboard the steamer and afterwards transferred to another fishing vessel.

Newcastle Courant. 08/12/1876:
Screw steamer THORNBOROUGH, proceeding down Shields Harbour, collided with screw steamer ABERDEEN, which has come out of Tyne Dock, and did damage to ABERDEEN'S stern. Almost immediately screw steamer NORTHUMBRIA coming down river, similarly collided with ABERDEEN'S stern and did much damage. Stern and steering apparatus of ABERDEEN were completely smashed in to distance of 10 or 12 ft.

Newcastle Courant, 08/06/1877:
In Admiralty Division of High Court, action brought by owners of THORNBOROUGH and NORTHUMBRIA against owners of ABERDEEN after collision in Tyne was continued.  ABERDEEN was pronounced alone to blame for collision.

Exeter Flying Post, 16/12/1893:
Scarborough trawler LORD CLYDE collided when 15 miles east of Scarborough with screw steamer ABERDEEN. LORD CLYDE sank within 10 minutes and 4 men were rescued under difficult circumstances."
ABERDEEN,1801,SHIP,,,ABDSHIP0033035,,182651,,,,,"Ship
Construction: Wood, sheathed in copper, fixed wiith iron bolts. Single deck with beams. Ship rigged.
Gross Tonnage: 325 tons.
Draught: 17 ft
Owner: Gibbon.
Master: A. Gibbon.
(Source: Lloyds register 1802, A979 )
Voyages: 
1802, London to St. Kitts.
1803, London to Riga.
1804, London to Jamaica.
1805-6, Liverpool to Jamaica. 
1807-13, london to Jamaica."
ABERDEEN & LEITH PACKET,1798,SLOOP,,,,Wood.,152956,Gross tonnage: 71 tons.,,,,"1802-8: Master - McDonald; Owner - Catto & co.; Voyage - Leith to Aberdeen.
1809: Master - McDonald
                        Gordon
1810-13: Master - A. Gordon"
ABERDEEN CITY,1957,MOTOR TRAWLER,A. HALL & Co.,,,STEEL,100669,"length 113 3/12' x breadth 25 1/12' x depth 12 3/6'
Gross Tonnage: 264 ton",,Aberdeen Motor Trawlers Limited,,"ABERDEEN CITY, A113
Yard Number: 751

Went aground at Start Point, Sanday, Orkney in early hours of 16 September 1963 bound for Faroes.  Crew of 12 taken off by Sanday lifeboat.

From Burntisland & Hall Russell Group Journal 25 (2) p47-48:
Launched 14 January 1957.  Naming ceremony performed by Mrs Byron S. Bellany, wife of chairman of the shipowing company.

Photos, Journal 25 (2) p 48:
(1) Group of guests before launch
(2) Mrs B.S. Bellany at naming ceremony

Photos, Journal 25 (3) p79:
(1) of wheelhouse
(2) on sea trials
(3) Master's cabin
"
ABERDEEN DISTRIBUTOR,1958,TRAWLER,A. HALL & Co.,,300358,STEEL,100675,"length 115' 6"" x breadth 25' 5"" x depth 13'
Gross Tonnage: 281 ton",,Aberdeen Motor Trawlers Limited,,"ABERDEEN DISTRIBUTOR, A211
Yard Number: 876

Type: Fishing Trawler
Construction: Riveted and Welded

Renamed: RIBAZON MAR PLATENSE (by 1974)

Oil Engine 4SA 6cy 15"" x 18"" Mirrlees

Later owned by Distributors Fishing Co. Ltd, Aberdeen. ABERDEEN DISTRIBUTOR was one of the first diesel boats in the fleet to replace the old coal burners.  ABERDEEN DISTRIBUTOR fished on both sides. 
In 1974 ABERDEEN DISTRIBUTOR was sold to and owned by Ribazon S.A. of Mar del Plata, Argentina and renamed RIBAZON MAR PLATENSE.  
She was still working in the 2005/06 Lloyd's Register of Shipping listed as being owned by Pesquera Celosar S.A. Mar del Plata Argentina.

Scrapped 2007."
ABERDEEN EXPLORER,1965,MOTOR TRAWLER,"Hall, Russell & Company, Limited",,303221,,101640,"length 134 5/6' x breadth 29 1/12' x depth 15'
Gross Tonnage: 425 ton",,Aberdeen Motor Trawlers Limited,,"Yard Number: 926
Date of Launch: 17 May 1965

Renamed: BOSTON EXPLORER (1968); GRAMPIAN EXPLORER (1979)

Owned in 1968 by Boston Deep Sea Fisheries Ltd, Fleetwood and renamed BOSTON EXPLORER. FD15
Owned in 1979 by G Craig, Aberdeen and renamed GRAMPIAN EXPLORER.

Information from Burntisland Shipbuilding Group Journal 28 (1) p14-15:
Sponsor at naming ceremony was Mrs B. A. Parkes.
ABERDEEN EXPLORER is designed for fishing from both sides.  Has an insulated fishroom - capacity of about 11,500 cubic feet.
Spacious and comfortable accommodation for crew of 18.
Diesel engines.
Photos:
(1) The Sponsor
(2) Sliding gracefully into the River Dee
(3) Leaving her home port

Change of owners:
1967 to Saint Andrew's Steam Fishing Co. Ltd (Manager B. A. Parkes)
1968-69 to Boston Deep Sea Fisheries Ltd

Last mention in Lloyd's Register 1977-78.

ABERDEEN EXPLORER was built using the same hull design as the PRINCE PHILIP, Yard Number 905, with changes being made to the superstructure and fishing layout: on PRINCE PHILIP fishing was only carried out on the starboard side, while the ABERDEEN EXPLORER could fish port and starboard.  On PRINCE PHILIP more accommodation was provided.  The wheelhouse front on PRINCE PHILIP sloped from the bottom out and on ABERDEEN EXPLORER the wheelhouse sloped back inward.

GRAMPIAN EXPLORER spotted at Wewelsfleth, near Peters Werft, The Netherlands in September 2008.  Listed as for sale as an operational vessel for Euro99,000. 
IMO 6514091
Listed as owned by Kurt Linderhaus, Wangerland

Still working as in Lloyds 2010 Register, as being owned by Kurt Linderhaus, Hamburg, Germany, as diving vessel. It has retained its name of GRAMPIAN EXPLORER from its previous Aberdeen owners, whose prefix on all its ships is ""GRAMPIAN"". North Star Shipping Co. have a new ship called GRAMPIAN EXPLORER (built 2003). 

ABERDEEN EXPLORER was converted from fishing in 1978 to standby work."
ABERDEEN MERCHANT,1957,MOTOR TRAWLER,A. HALL & Co.,,183860,STEEL,100670,"length: 115.6' x breadth: 25.5' x depth: 14.4'
gross tonnage: 264 ton",,Aberdeen Motor Trawlers Limited,,"Yard Number: 752
Date of Build/Launch: June 1957

Owner: Aberdeen Motor Trawlers Ltd (part of John Wood Group) A134
Manager: Don Fishing Co. Ltd

Steel, part electrically welded

Surveys overdue 7/69.

1970-71: John Wood & Sons
June 1971: Broken up in UK

ABERDEEN MERCHANT was towed to scrapyard in Bo'ness in 1971.  The engine of ABERDEEN MERCHANT was removed prior to be towed to scrapyard in Aberdeen to be reallocated to the stern trawler CLARKWOOD.  On ABERDEEN MERCHANT'S maiden voyage, which was a 5-day trip to Faroe, she landed 500 boxes under the command of Alex Elder.
"
ABERDEEN PONTOON DOCK NUMBER 1,1955,PONTOON DOCK,John Lewis & Sons,,,,101797,"Length: 180'5""
Breadth (entrance): 42'7""
Depth on sill: 16'
Lifting Capacity: 700 tons.",Aberdeen Harbour Board,,,"Yard Number: 249

Length overall 180 feet, length over keel blocks 160 feet, breadth overall 42' 6"".  Height of side wall 29' 6"".  Maximum draught 26' 4"".  Maximum draught above keel blocks 16' 0"".

Dock designed to lift a vessel of 600 tons displacement drawing 15 feet within a time of 30 minutes or to lift a vessel of 700 tons displacement and 16 feet draught in a corresponding longer time.  Freeboard at centre at ends 6"".

The Pontoon Dock was situated at the top of Point Law, Albert Quay along with Dock No. 2.  It was used mainly to lift the trawlers out of the water to get the bottoms cleaned and repainted and other underwater tasks entailed in the early days before power washers. 
When the pontoon was lifting the trawler out of the water 2 squads of men in 2 punts would scrub the hull with hard bristle sweeping brushes to get rid of the barnacles and mussels attached to the hull. The pontoon worked by opening valves to let the water into the tanks to sink the pontoon.  Once the pontoon was sunk and vessel positioned in place the water was pumped out and the pontoon and vessel came out of the water. 
The pontoon was broken up at Dales Drydock in the early 2000s? When Albert Quay was being refurbished and the fishing industry was in decline and was no longer needed.

Glasgow Herald, 11/4/1953:
AHC accept a tender of £74,850 for an all welded replacement No. 1 Pontoon.

Aberdeen Evening Express, 18/3/1955:
New Pontoon Dock - Preparations are being made for the new pontoon dock which will take the place of No. 1 dock at Albert Quay. Uprights are being put in the berth, and a dredger has been busy.
It is understood that the old dock will take her last lift about the twenty-second of this month. Thereafter she will be removed so that the berth will be cleared for the new dock which, I understand, will be launched early next month from the yard of Messrs John Lewis and Sons, Ltd., Torry.
While on the subject of pontoon docks, I understand that the next one which will require attention will be No. 3, the large one at Footdee.
The suggestion here is that it should be replaced by a graving dock somewhere about Pocra. This would require certain alterations being carried out at that part of the harbour.
If a graving dock is built in the course of time it will not be the first. Many people will remember the old graving dock situated where the deep-water berth is today.
That dock gave yeomen service for many years and it was so well built that it took much longer to remove than was anticipated.

Aberdeen Evening Express, 06/05/1955:
New Pontoon Dock - The new pontoon dock at Albert Quay is now in commission, the first vessel to go on being the trawler Dandara which was having her hull repainted. The old pontoon dock has been removed to the sandy beach at Old Torry where it is being broken up. This task is not expected to be completed until about the end of this month."
ABERDEEN SMACK,1763,SLOOP,,,ABDSHIP0033036,,182653,,,,,"Sloop
Construction: Wood. Single deck, sloop. New upper works made of Fir, 1783. 
Gross Tonnage: 80 tons.
Draught: 9 ft.
Owner: Gibbon & co.
Master: J. Ramsey.
Voyage: 1786, London to Archangel, Russia.
(Source: Lloyds register 1786, A6 )"
ABERDEEN VENTURER,1960,MOTOR TRAWLER,"Hall, Russell & Company, Limited",,302224,STEEL,101601,"length 115'10"" x breadth 26' x depth 13'3""
gross tonnage: 298 ton",,Aberdeen Motor Trawlers Limited,,"Yard Number: 885
ABERDEEN VENTURER (A488)

Date of Launch: 9 June 1960

August: 1972: Special survey carried out.
1973: Aberdeen Near Water Trawlers (part of John Wood Group).
Classed LR until 18 November 1977.
March 1980: Broken up in UK.

'Burntisland Shipbuilding Group Journal', vol. 26, no. 4, pg. 117, April 1961:
""Mrs. C.E. Miller, wife of one of the owning's company's directors carried out the naming ceremony"". 
Photographs in the volume include:
i) ""Mrs. C.E. Miller speeds Aberdeen Venturer down the ways"",
ii) ""The launch of the ship""
iii) ""Entering Aberdeen Harbour after first fishing trip"".

31st August 1976 - Aberdeen Press & Journal account of how the 'Aberdeen Venturer' (owners given as John Wood Group, Aberdeen) and the 'Ben Tarbert' collided outside Peterhead's 'Bay of Refuge'.  'Aberdeen Venturer' skipper was charged with culpable homicide as two crew members of 'Ben Tarbert' were lost - but they denied the charges."
ABERDEENSHIRE,1825,SNOW,ADAMSON,,,WOOD,100825,"length 89' x breadth 25'2"" x depth 17'
Registered Tonnage: 240 ton",,,,"Registered at Aberdeen 18th February 1825.

Owners Robert Catto & William Catto, merchants and James Oswald, Skipper.

Description: 1 deck, 2 masts, snow rigged, standing bowsprit, square stern, carvel built, a woman figurehead.
Subscribing Owners in 1825: Robert Catto, 12 shares; William Catto, 12 shares; Merchants; James Donald, Shipmaster, 8 shares.
Other Owners in 1825: John Catto, 8 shares; George Thomson, 4 shares; William Pirie, 4 shares; William Donald, 4 shares; John Catto Jnr. 4 shares; all merchants. John Ewing, Advocate, 8 shares; all Aberdeen.
Master in 1825 James Oswald
(Source: Aberdeen Register of Shipping (Aberdeen City Archives))

1839-40: First recorded in Lloyd's Register 1839; Master T. Verrell; Owner J. & T. Wod; Registered in Whitby; Voyage Hartlepool - London.
1841-42: Master Blackburn; Owner J. & T. Wod; Registered Whitby; Voyage Hartlepool - London.
1843-44: Master Harrison; Owner J. & T. Wod; Registered Whitby; Voyage London - St. Petersburg.
1845: No trace in Lloyd's Register.
(Source: Lloyd's Register of Shipping)

"
ABERDON,1911,COLLIER,"Hall, Russell & Company, Limited",,129370,,101220,"length 210 3/6' x breadth 32 1/12' x depth 16'
Gross Tonnage: 1005 ton","Adam Bros. Ltd, Aberdeen",,,"Yard Number: 500
Steel screw steamship
Registered at Aberdeen 13 November 1911

One deck, 2 masts ketch rigged
Engines: 1 inverted direct acting triple expansion condensing, 2 steel boilers.  11 knots, 151 Horsepower.

Owners Adam Brothers Ltd, 17 Gracechurch Street, London.  Manager Thomas Livingston Adam, 42 Regent Quay, Aberdeen.

20th April 1915 - registry closed; vessel missing since leaving Seaham Harbour for Aberdeen 9th March 1915.

Lloyd's Returns of Vessels Totally Lost: 'Left Seaham Harbour 9th March 1915 with cargo of coal for Aberdeen - not since heard of.'


"
ABERDONIAN,1840,SCHOONER,A. HALL & Co.,,5337,WOOD,100028,"length 62 5/12' x breadth 20 1/12' x depth 12'
gross tonnage 145 tons",Nicol & Munro,,,"Yard Number: 109
SHIP

1 deck, 2 masts, schooner rigged, square stern, carvel built, female figurehead.
Owner: George Leslie, Shipowner, Aberdeen, 32 shares; James Leslie, Shipowner, Aberdeen, 32 shares
(Source: Aberdeen Register of Shipping (Aberdeen City Archives))

Subscribing Owners 1844: Alexander Nicol and George Munro, merchants Aberdeen carrying on business under the firm of Nicol & Munro (12 shares), William Hogarth, merchant, Aberdeen (12 shares).
Other shareholders: Benjamin Moir, merchant (12 shares), Donald Gordon Stewart, merchant (12 shares), both Aberdeen. James Clark Crispin, merchant, London (12 shares), William Robinson, merchant, London (12 shares)
(Source: Aberdeen Registrar of Shipping (Aberdeen City Archives))

1862: Master - Bruce; Owner/Agent - James Leslie

Purchased by the Aberdeen Steam Navigation Company in January 1844.
Sold to George & James Leslie, Aberdeen in June 1853.
Sold to Daniel Mearns, Aberdeen in February 1871.
Sold to J Archibald, Aberdeen in June 1883.
Broken up, March 1888.

Aberdeen Journal, 20/04/1853:
Schooner ABERDONIAN will leave 21 April at 8p.m. for Hull and will leave Hull on her return for Aberdeen Wednesday 27 April, being last trip of the present vessels in the trade. T. Anderson, Aberdeen Steam Navigation Co.'s office.

Aberdeen Journal, 17/05/1854:
Regular trader to Hull - clipper schooner ABERDONIAN will sail, weather permitting, from Aberdeen Sat. 27 May at 1p.m. and Sat. 10 June at 1p.m., from Hull Sat. 20 May and Sat. 3 June at 6p.m. For freights apply George Leslie, 11 Quay, Aberdeen.

Aberdeen Weekly Journal, 20/12/1879:
Severest gale for upwards of 20 years Sat. evening... schooner ABERDONIAN, owned by Councillor Mearns, moored Cross Quay. One of her fastenings gave way and ship drifted some distance before she was again got under command.

Glasgow Herald, 01/01/1883:
ABERDONIAN, schooner, from Shields to Aberdeen, has returned to Shields with loss of topmast, yards, rigging, etc.
"
ABERDONIAN COAST,1947,COASTER,"Hall, Russell & Company, Limited",,,,101524,"length 261' x breadth 40 1/12' x depth 15 3/6'
Gross Tonnage: 1258 ton",,Aberdeen Steam Navigation Company,,"Yard Number: 800

Renamed: HIBERNIAN COAST (1948); PORT SAID COAST (1970)

Vessel named by Mrs. J.S. Allan
(Source: Burntisland and Hall Russel Shipyard Journals)

In 1948, transferred by Coast Lines from Aberdeen-London service to Liverpool-Dublin-South Coast-London and renamed HIBERNIAN COAST. 
Sold in 1968 to Alomar Mechanical Engineering Co. Kuwait and renamed PORT SAID COAST.  
Sold in 1970 to Kuwait Coast Line Co. Kuwait.  
May 1974 - broken up at Murcia, Spain."
